D
>>>>>>~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
G4 Dock:_B4.45_C2.80_F8127
=DOCK TIME (yy-mm-dd hh:mm):22-02-06 07:44:30
Counter log start
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

System check...
*****V9.4d S/N210914 (c) 2001-2018*****
TRAFx Research Ltd. www.trafx.net
Fx:F6E0R1M3T2T_c26f26L33LN4P0A0E2_m064I2_d

Sets:N:H:001:030:E:060:000:F:Y:F:016:000:Y:000

  *Serial Number  :2111Tv
  *Counter name   :Front GateGate      
  *Mode           :Infrared (IR+)
  *Batt. voltage  :4.5
  *Stored records :00168

=TIME (yy-mm-dd hh:mm):22-02-06,07:44:04
=START(yy-mm-dd hh:mm):22-01-30,09:00
PERIOD (1/24/0=Timestamps) :001
DELAY     (see manual)     :030

22-02-05,13:00,00010,00000
22-02-05,14:00,00018,00000
22-02-05,15:00,00008,00000
22-02-05,16:00,00014,00000
22-02-05,17:00,00116,00000
22-02-05,18:00,00000,00000
22-02-05,19:00,00000,00000
22-02-05,20:00,00024,00000
22-02-05,21:00,00060,00000
22-02-05,22:00,00003,00000
22-02-05,23:00,00005,00000
22-02-06,00:00,00054,00000
22-02-06,01:00,00000,00000
22-02-06,02:00,00000,00000
22-02-06,03:00,00000,00000
22-02-06,04:00,00000,00000
22-02-06,05:00,00027,00000
22-02-06,06:00,00073,00000

END OF DATA
  -close data file
  -then check it
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
G4 Dock:_B4.44_C2.80_F8120
=DOCK TIME (yy-mm-dd hh:mm):22-02-06 07:44:57
Counter log end
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~<<<<<<

Dock: SHUTTLE Mode!
V 4.16 S/N210930 (c)2017
TRAFx Research Ltd. www.trafx.net
G4 Dock:_R2A-RI_B4.41_C0.00_F8120

Stored counter logs   :1
Dock memory used (%)  :0
Dock battery voltage  :4.4

=DOCK TIME (yy-mm-dd hh:mm):22-02-06 07:48:48

====================================
C_onfigure, V_iew, D_ownload, E_rase
====================================
++ ENTER COMMAND ++>>
